nombre_pais|n_total_casos|n_nuevos_casos|n_total_muertes|n_nuevas_muertes|n_total_recuperados|n_nuevos_recuperados|n_casos_activos|n_casos_crticos|n_total_pruebas|n_total_poblacion
USA|111820082|0|1219487|0|109814428|0|786167|940|1186851502|334805269
India|45035393|0|533570|0|0|0|0|0|935879495|1406631776
France|40138560|0|167642|0|39970918|0|0|0|271490188|65584518
Germany|38828995|0|183027|0|38240600|0|405368|0|122332384|83883596
Brazil|38743918|0|711380|0|36249161|0|1783377|0|63776166|215353593
S. Korea|34571873|0|35934|0|34535939|0|0|0|15804065|51329899
Japan|33803572|0|74694|0|0|0|0|0|100414883|125584838
Italy|26723249|0|196487|0|26361218|0|165544|22|281126449|60262770
UK|24910387|0|232112|0|24678275|0|0|0|522526476|68497907
Russia|24124215|0|402756|0|23545818|0|175641|0|273400000|145805947
Turkey|17232066|0|102174|0|0|0|0|0|162743369|85561976
Spain|13914811|0|121760|0|13762417|0|30634|231|471036328|46719142
Australia|11853144|0|24414|0|11820014|0|8716|3|81916639|26068792
Vietnam|11625195|0|43206|0|10640971|0|941018|0|85826548|98953541
Taiwan|10241523|0|19005|0|10222518|0|0|0|30742304|23888595
Argentina|10128845|0|130841|0|9997258|0|746|0|35716069|46010234
Netherlands|8635786|0|22992|0|8612599|0|195|0|25984435|17211447
Mexico|7702809|0|334958|0|6899865|0|467986|0|20013810|131562772
Iran|7627186|0|146811|0|0|0|0|0|57320267|86022837
Indonesia|6829221|0|162063|0|6647104|0|20054|0|114158919|279134505
Poland|6661991|0|120598|0|0|0|0|0|39323709|37739785
Colombia|6400173|0|143200|0|6212152|0|44821|342|36951507|51512762
Greece|6101379|0|37869|0|0|0|0|0|102228365|10316637
Austria|6081287|0|22542|0|6054934|0|3811|0|211273524|9066710
Portugal|5643062|0|28126|0|5614809|0|127|61|46139518|10140570
Ukraine|5557995|0|112418|0|5445577|0|0|0|32603805|43192122
Chile|5384853|0|64497|0|5252450|0|67906|7|50382097|19250195
Malaysia|5278406|0|37348|0|5233268|0|7790|11|68580916|33181072
Canada|4946090|0|59034|0|4881312|+350|5744|99|66572774|38388419
Belgium|4861695|0|34376|0|4826798|+50|521|0|37454182|11668278
Israel|4841772|0|12707|0|4798473|0|30592|0|41373364|9326000
DPRK|4772813|0|74|0|4772739|0|0|0|0|25990679
Thailand|4770149|0|34586|0|4692636|0|42927|0|17273454|70078203
Czechia|4759041|0|43517|0|4715206|0|318|2|57834241|10736784
Peru|4572667|0|222161|0|4350506|0|0|4|39010194|33684208
Switzerland|4453053|0|14452|0|4438309|0|292|0|23833472|8773637
Philippines|4140383|0|66864|0|4067381|0|6138|0|36102746|112508994
South Africa|4076463|0|102595|0|3912506|0|61362|192|26795090|60756135
Romania|3529735|0|68929|0|3460149|+390|657|21|28758667|19031335
Denmark|3183756|0|8814|0|3174942|0|0|0|129333107|5834950
Singapore|3006155|0|2024|0|3004131|0|0|4|24756666|5943546
Hong Kong|2937609|0|14924|0|2916005|0|6680|0|76127725|7604299
Sweden|2754129|0|27407|0|2726492|+20|230|0|19500873|10218971
New Zealand|2621111|0|5697|0|2613791|0|1623|0|7768604|4898203
Serbia|2615054|0|18057|0|2596608|0|389|0|13463733|8653016
Iraq|2465545|0|25375|0|2439497|0|673|0|19544451|42164965
Hungary|2230232|0|49048|0|2152155|0|29029|0|11394556|9606259
Bangladesh|2049377|0|29493|0|0|0|0|0|15254399|167885689
Slovakia|1877605|0|21224|0|1856381|0|0|23|7448789|5460193
Georgia|1861665|0|17132|0|0|0|0|0|16920079|3968738
Jordan|1746997|0|14122|0|1731007|0|1868|59|17201885|10300869
Ireland|1734582|0|9491|0|1724921|0|170|19|13083449|5020199
Pakistan|1581936|0|30664|0|1538689|0|12583|0|30589153|229488994
Finland|1516117|0|11958|0|1503989|+14|170|0|12108977|5554960
Norway|1509732|0|6638|0|1503094|0|0|0|11002430|5511370
Kazakhstan|1411831|0|13848|0|1383020|0|14963|24|11575012|19205043
Lithuania|1397806|0|9897|0|1387478|0|431|0|10540357|2661708
Slovenia|1356546|0|7100|0|1349424|0|22|0|2847701|2078034
Bulgaria|1339851|0|38748|0|1292944|0|8159|22|11671043|6844597
Croatia|1309728|0|18687|0|1258432|0|32609|0|5660084|4059286
Guatemala|1291293|0|20289|0|1269891|0|1113|5|7593848|18584039
Morocco|1278992|0|16303|0|0|0|0|0|13001033|37772756
Lebanon|1243838|0|10952|0|1087587|0|145299|74|4795578|6684849
Costa Rica|1238883|0|9428|0|0|0|0|0|4659757|5182354
Bolivia|1212131|0|22407|0|1177145|0|12579|220|2710261|11992656
Tunisia|1153361|0|29423|0|0|0|0|0|5013383|12046656
Cuba|1115251|0|8530|0|1106660|0|61|0|14402674|11305652
Ecuador|1070188|0|36043|0|1034145|0|0|0|3082403|18113361
UAE|1067030|0|2349|0|0|0|0|0|200732262|10081785
Panama|1059893|0|8727|0|1051102|0|64|16|7882622|4446964
Uruguay|1041111|0|7664|0|1030944|0|2503|18|6114822|3496016
Mongolia|1011496|0|2284|0|1009212|0|0|0|4030048|3378078
Nepal|1003450|0|12031|0|991322|0|97|0|6047766|30225582
Belarus|994037|0|7118|0|985592|0|1327|0|13646641|9432800
Latvia|982505|0|6715|0|971406|0|4384|0|7885792|1848837
Saudi Arabia|841469|0|9646|0|0|0|0|0|45481735|35844909
Paraguay|837602|0|20155|0|0|0|0|0|2657506|7305843
Azerbaijan|835234|0|10400|0|824089|0|745|0|7748050|10300205
Bahrain|729549|0|1574|0|727915|0|60|0|10948549|1783983
Cyprus|681110|0|1365|0|679745|0|0|0|9640118|1223387
Dominican Republic|675890|0|4384|0|671316|0|190|4|3740928|11056370
Sri Lanka|672754|0|16897|0|655852|0|5|0|6486117|21575842
Kuwait|667158|0|2570|0|0|0|0|0|8455743|4380326
Myanmar|641873|0|19495|0|620159|0|2219|0|11711514|55227143
Moldova|635145|0|12218|0|0|0|0|0|3216305|4013171
Estonia|628070|0|3001|0|0|0|0|0|6968103|1321910
Palestine|621008|0|5404|0|615445|0|159|0|3078533|5345541
Venezuela|552695|0|5856|0|546537|0|302|31|3359014|29266991
Egypt|516023|0|24613|0|442182|0|49228|122|3693367|106156692
Qatar|514524|0|690|0|513687|0|147|16|4065369|2979915
Libya|507274|0|6437|0|500835|0|2|0|2483848|7040745
Ethiopia|501157|0|7574|0|488171|0|5412|0|5565340|120812698
Réunion|494595|0|921|0|0|0|0|0|1603660|908061
Honduras|474590|0|11165|0|0|0|0|0|1660662|10221247
Armenia|451831|0|8777|0|435162|0|7892|0|3242901|2971966
Bosnia and Herzegovina|403615|0|16388|0|379084|0|8143|0|1884721|3249317
Oman|399449|0|4628|0|0|0|0|0|25000000|5323993
Luxembourg|391232|0|1232|0|0|0|0|0|4587145|642371
North Macedonia|350567|0|9976|0|337068|0|3523|0|2226216|2081304
Zambia|349304|0|4069|0|341316|0|3919|0|4112961|19470234
Kenya|344130|0|5689|0|337309|0|1132|0|3967062|56215221
Brunei|343719|0|225|0|243601|0|99893|3|717784|445431
Albania|334863|0|3605|0|330233|0|1025|0|1941032|2866374
Botswana|330638|0|2801|0|327049|0|788|1|2026898|2441162
Montenegro|296542|0|2846|0|291794|0|1902|0|2769281|627950
Algeria|272010|0|6881|0|183061|0|82068|0|230960|45350148
Nigeria|267188|0|3155|0|259953|0|4080|11|5708974|216746934
Zimbabwe|266359|0|5740|0|258888|0|1731|12|2525756|15331428
Uzbekistan|253662|0|1637|0|241486|0|10539|23|1377915|34382084
Afghanistan|234174|0|7996|0|211080|0|15098|0|1390730|40754388
Mozambique|233731|0|2250|0|228805|0|2676|11|1371127|33089461
Martinique|230354|0|1102|0|0|0|0|0|828928|374087
Laos|218970|0|758|0|0|0|0|0|1233207|7481023
Iceland|209906|0|229|0|0|0|0|0|1996384|345393
Kyrgyzstan|206897|0|2991|0|196406|0|7500|131|1907195|6728271
Guadeloupe|203235|0|1021|0|0|0|0|0|938039|399794
El Salvador|201855|0|4230|0|179410|0|18215|0|2610114|6550389
Trinidad and Tobago|191496|0|4390|0|187078|0|28|0|913289|1406585
Maldives|186694|0|316|0|163687|0|22691|25|2213831|540985
Namibia|172389|0|4106|0|167099|0|1184|0|1062663|2633874
Uganda|172149|0|3632|0|100431|0|68086|0|3012408|48432863
Ghana|171889|0|1462|0|170425|0|2|0|2541625|32395450
Jamaica|156869|0|3756|0|0|0|0|0|1183986|2985094
Cambodia|139103|0|3056|0|136044|0|3|0|3091420|17168639
Rwanda|133518|0|1468|0|132039|0|11|0|6021981|13600464
Cameroon|125379|0|1974|0|123280|0|125|0|1751774|27911548
Malta|121420|0|885|0|120149|0|386|0|2170600|444033
Barbados|110578|0|648|0|108647|0|1283|0|814159|288023
Angola|107327|0|1937|0|103419|0|1971|0|1499795|35027343
Channel Islands|101717|0|228|0|101321|0|168|0|1252808|176463
DRC|99338|0|1468|0|84489|0|13381|0|846704|95240792
French Guiana|98041|0|420|0|11254|0|86367|6|651257|314169
Malawi|89535|0|2686|0|0|0|0|0|624784|20180839
Senegal|89053|0|1971|0|87024|0|58|0|1146543|17653671
Ivory Coast|88384|0|835|0|87497|0|52|0|1690934|27742298
Suriname|82588|0|1408|0|0|0|0|0|242207|596831
New Caledonia|80064|0|314|0|0|0|0|0|98964|290915
French Polynesia|79254|0|650|0|0|0|0|0|0|284164
